Gene_Name,BreitmeyerC1R1,BreitmeyerC1R2,BreitmeyerC1R3,BreitmeyerC2R1,BreitmeyerC2R2,BreitmeyerC2R3,GuaquetaR1,GuaquetaR2,GuaquetaR3,GuaquetaR4,Hammonds1,Hammonds2,Hammonds3,Hammonds4,Hammonds5,Penney1,Penney2,Penney3,Penney4,Penney5,Penney6
OSTF1,250,130,159,192,192,350,878,1353,561,1220,4591,3857,3426,3313,3612,1425,1560,1669,1721,1299,1613
RFK,577,388,545,411,429,233,254,398,257,410,627,503,386,403,348,176,190,245,207,147,202
UBQLN1,8067,8148,10579,11222,6952,4644,1631,2402,1521,2446,5369,4682,3614,3810,3713,1243,1264,1411,1365,533,1217
NAA35,2050,2623,2662,3170,1774,2347,275,403,256,355,738,667,498,492,535,239,262,241,233,125,244
ANXA1,449,45,109,550,911,8800,1453,2533,714,1330,4301,2657,2226,1865,2481,807,757,834,580,378,506
CTSL,1296,1020,2155,1544,1787,1338,6521,19021,7603,9408,8264,7763,10253,16154,16056,9828,10005,10787,11463,9235,11793
AGTPBP1,4413,6178,6311,7646,4598,4157,359,366,249,323,1349,1079,981,970,1066,233,231,259,292,138,205
GOLM1,8704,8192,9527,9436,10210,14413,221,435,132,279,1830,1470,1243,827,897,369,350,375,407,181,322
PSAT1,5036,4236,6559,11481,6272,3212,270,264,3,390,707,232,113,23,26,19,28,22,24,17,21
ISCA1,1601,1387,1505,1361,1740,925,93,186,44,113,782,628,584,666,651,117,128,126,115,66,138
ADAM19,3552,2319,2495,2736,1651,4820,0,4,0,15,65,53,36,30,34,103,101,76,150,42,125
HAVCR2,25,52,9,37,11,14,1388,2794,877,3183,11165,10397,11449,11397,11518,3857,4489,4537,4815,2903,4340
CCNJL,1522,1660,1977,2173,1440,1946,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
TAOK3,1435,1874,2521,2342,1325,800,1382,1964,992,2124,6119,4609,4026,3768,4023,871,892,880,918,461,763
USP30,941,1046,1104,967,497,331,238,284,133,192,384,350,398,535,514,65,82,88,82,41,78
SDS,20,3,1,5,1,7,418,774,666,359,1583,2371,4030,5765,5091,465,436,471,314,254,255
MSI1,5021,5227,7488,7889,4565,5139,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
HNF1A,3,0,6,3,5,18,0,0,0,0,0,0,0,0,0,10,2,5,8,5,8
FBXO21,4402,5195,5893,6180,3850,5259,308,385,295,360,1251,1119,969,870,906,224,265,245,261,115,253
TBX3,1280,912,526,252,206,2102,69,55,57,42,444,443,381,407,466,5,19,13,25,13,35
OASL,0,0,1,0,0,0,18,48,12,104,65,72,44,37,37,55,49,79,42,61,37
HRK,71,123,139,117,229,198,38,31,31,77,0,1,0,0,0,4,2,3,2,7,3
RNFT2,1202,1289,1812,2103,735,722,29,32,24,25,68,41,52,31,36,7,7,8,11,12,9
P2RX4,331,572,439,777,297,372,1142,2182,1206,2364,4219,4769,5574,7454,7789,2495,2798,2828,3245,2289,3225
DTX1,251,390,440,430,344,394,190,520,419,872,15,20,21,97,60,547,433,603,612,357,539
TRAFD1,1890,1816,2562,2492,1658,1453,555,737,457,730,2605,2085,1691,1670,1756,484,514,551,535,284,498
DMTF1,6095,9023,8844,11987,4580,4276,351,499,278,431,832,781,620,686,839,200,205,234,230,62,191
OCM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM243,450,348,365,394,308,520,219,222,112,198,898,869,935,1177,1140,151,177,167,111,114,144
CCDC146,383,582,417,725,187,1014,35,57,35,54,130,93,136,141,194,35,36,32,39,20,36
TMEM60,272,133,268,211,192,225,154,180,126,142,895,761,666,829,830,222,254,244,259,190,244
POM121C,4282,5379,5445,6391,3206,2489,537,612,458,707,3248,3500,3028,2642,2384,359,333,428,396,119,315
CD36,2084,256,525,71,129,13,1617,6912,509,6220,5319,4266,7779,11951,11504,12152,13134,14208,16069,8032,15532
UGT2A3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSN2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGT2B28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNPLA8,1447,1298,1637,1587,1099,501,381,507,357,541,1842,1386,1146,1208,1192,387,382,449,347,200,362
HILPDA,644,593,661,619,312,264,50,118,23,111,135,134,116,145,131,30,45,48,28,31,32
RINT1,1222,1495,1259,1628,1064,1156,210,342,149,299,668,490,313,369,293,125,140,137,149,77,115
SRPK2,4243,4236,5100,5613,4093,8220,372,667,456,593,2045,1796,1643,1547,1750,360,511,480,457,182,417
KCP,316,348,233,378,216,346,284,775,271,438,83,139,154,150,155,16,10,13,21,7,19
TES,1197,433,683,372,417,6225,135,69,37,114,3280,2558,1632,992,897,60,63,63,72,27,43
MDFIC,1690,984,1020,920,857,1877,843,1253,661,1600,342,194,189,214,246,140,140,168,80,39,82
MTO1,1044,1003,1160,1551,927,480,209,285,113,240,1047,889,756,745,843,153,221,197,208,119,212
ANKRD6,1224,2209,2095,2519,1089,1004,119,134,216,133,300,230,222,228,238,160,171,171,187,77,183
HTR1B,125,81,80,90,49,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KHDC1,130,155,157,324,141,163,0,0,1,0,6,13,4,8,4,1,2,2,1,0,0
SYNCRIP,16379,14650,17107,17351,14218,9893,1261,2038,766,2308,9638,6724,5077,3979,3934,2061,2028,2257,2210,966,1878
SNX14,1728,2155,1785,2573,986,1054,608,934,405,765,3844,2672,2586,2625,2898,740,915,897,895,501,822
NT5E,77,98,334,326,102,20,0,13,0,3,3,3,3,0,2,4,1,8,6,2,1
MRAP2,76,122,102,158,168,62,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
EPHA7,6641,5688,9338,10366,8045,1054,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0
AKIRIN2,3120,2587,4050,3297,2992,4050,621,923,646,1011,2275,2209,1680,1706,1674,704,793,863,808,566,818
LCA5,812,641,994,874,620,1003,6,7,5,2,11,10,17,34,22,28,36,34,30,12,25
MAP3K7,6307,6777,7201,8185,5466,4993,784,991,613,1018,2652,2233,1944,1743,1862,543,617,660,681,348,578
CGA,0,0,0,10,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GJA10,2,5,9,7,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR5L,196,269,296,384,309,354,219,356,179,265,870,854,846,1040,938,802,769,873,1102,578,929
LMO2,435,98,116,83,57,200,412,471,63,502,5036,4581,2831,1537,1664,876,739,1022,970,737,959
PHF21A,4730,4854,5709,7007,3932,2552,505,433,281,281,1314,1132,1265,1132,1448,148,166,193,212,59,117
NAT10,3090,3084,4205,5152,3058,3794,571,906,333,968,1653,1584,1130,879,767,540,629,568,628,247,486
EHF,3,2,4,2,6,19,1,1,0,2,12,8,10,5,6,2,0,0,0,0,0
ELF5,0,2,1,0,0,38,0,8,0,5,1,0,0,0,0,2,3,0,0,3,0
PRRG4,37,17,14,21,18,122,25,30,15,32,187,149,207,272,354,13,12,6,10,9,14
