Gene_Name,Ramadoss_Neuron,Ramadoss_Neuron,Ramadoss_Neuron,Tian_Neuron,Tian_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Lisowski_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Susco_Neuron,Rummel_Neuron
ABHD2,623,614,561,292,317,545,776,1600,2251,950,1027,3937,5150,800,269,835,409
ABHD3,6,7,6,2,5,175,258,284,354,100,110,56,135,48,9,30,4
ABHD4,32,29,32,1,9,66,83,232,342,149,150,122,251,7,13,30,18
ABHD5,310,283,266,15,4,73,127,150,238,253,234,829,1112,141,73,200,6
ABHD6,90,57,106,14,32,23,30,45,59,44,55,300,583,132,21,100,47
ABHD8,146,118,121,69,43,15,16,25,26,19,21,170,367,9,18,55,113
ABI1,355,358,307,132,139,289,379,614,801,513,567,1294,2112,314,82,363,111
ABI2,2821,2534,2572,721,1162,4007,6092,7044,9797,5037,5590,6605,10343,1973,559,1810,1719
ABI3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
ABI3BP,7,6,11,0,0,0,0,0,0,1,0,59,116,0,17,29,3
ABL1,552,469,445,381,363,614,874,1539,2412,1598,1758,2219,3858,504,243,572,216
ABL2,437,442,442,135,180,770,1124,1983,2834,946,1013,3304,3854,603,266,886,302
ABLIM1,1487,1322,1303,433,584,1626,2157,2297,3159,1143,1178,12575,18942,2340,1053,3541,941
ABLIM2,190,198,178,26,58,33,50,15,36,11,12,346,514,54,23,97,110
ABLIM3,440,477,420,75,104,77,76,18,35,10,12,1275,1535,234,116,361,354
ABO,0,3,0,0,0,0,0,0,0,0,0,12,10,0,0,3,18
ABR,112,95,63,123,161,629,875,1153,1654,472,510,126,175,0,33,31,36
ABRA,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,4,0
ABRACL,244,213,201,193,209,132,195,249,319,80,82,381,730,121,27,163,92
ABT1,236,161,170,110,94,88,124,258,325,238,255,413,654,115,40,153,108
ABT1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABTB1,8,14,12,6,4,25,24,17,25,24,22,56,99,22,4,18,9
ABTB2,53,68,50,15,27,139,206,300,432,354,383,73,70,2,11,24,11
AC000041,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0
AC000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000081,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AC000089,22,20,15,0,0,7,1,2,3,5,3,1,4,1,0,0,433
AC000095,0,0,0,0,0,0,0,0,1,0,0,38,70,17,0,13,0
AC000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000362,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0
AC000367,0,2,3,0,0,1,3,1,0,1,0,22,20,0,10,9,5
AC000374,0,0,0,0,0,0,0,0,0,0,0,8,9,0,3,0,1
AC002056,0,0,1,0,0,3,3,3,1,2,3,0,0,0,0,0,0
AC002069,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0
AC002075,0,0,0,0,0,1,0,2,2,1,5,0,0,0,0,0,0
AC002127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002310,12,10,19,2,6,3,6,16,20,4,8,7,0,0,0,1,38
AC002366,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
AC002398,0,0,0,0,0,0,0,0,0,0,0,0,37,0,16,0,0
AC002400,0,0,0,0,0,0,0,0,0,0,0,29,48,11,0,6,0
AC002429,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AC002486,0,0,0,0,0,4,3,5,9,0,2,0,0,0,0,0,0
AC002519,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1
AC002542,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
AC002543,0,0,0,0,0,0,0,0,0,0,0,3,21,0,1,6,0
AC002553,16,15,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AC002984,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0
AC002985,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
AC003002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003005,0,0,0,0,0,0,0,0,0,0,0,15,0,7,5,8,0
AC003006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003080,0,0,0,0,0,4,9,1,4,0,3,5,8,0,0,3,0
AC003682,4,0,2,1,0,8,13,6,9,1,0,7,0,0,0,10,4
AC003958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC003973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
