Gene_Name,Processed_Ramadoss_iPSC_1,Processed_Ramadoss_iPSC_2,Processed_Ramadoss_iPSC_3,Processed_Lisowski_iPSC1,Processed_Lisowski_iPSC2,Processed_Lisowski_iPSC3,Processed_Susco_iPSC_1,Processed_Susco_iPSC_2,Processed_Susco_iPSC_3,Processed_Susco_iPSC_4,Processed_Susco_iPSC_5
AC006466,0,0,0,0,0,0,0,0,0,0,0
AC006483,0,0,0,0,0,0,0,0,0,0,0
AC006486,0,0,0,0,0,0,62,0,0,0,0
AC006499,0,0,0,0,0,0,0,0,0,0,0
AC006509,0,0,1,0,0,0,0,0,1,2,0
AC006538,11,17,18,9,7,7,28,0,0,8,3
AC006539,1,3,3,0,1,1,11,3,0,2,0
AC006548,0,0,0,0,0,0,0,0,0,0,0
AC006946,0,0,0,0,0,0,0,0,0,1,0
AC006960,0,0,0,0,0,1,0,0,0,0,0
AC006978,38,39,57,134,136,164,74,34,36,50,54
AC006989,0,0,0,0,0,0,0,0,0,0,0
AC006994,0,0,0,0,0,1,13,0,0,0,0
AC007000,0,0,1,0,0,0,0,1,0,0,0
AC007016,0,0,0,1,1,1,0,0,0,0,0
AC007040,0,0,0,0,0,0,0,0,20,0,0
AC007041,0,1,0,1,1,0,0,1,0,0,0
AC007064,0,0,0,0,0,0,0,0,0,0,0
AC007115,0,0,0,0,0,0,0,0,0,0,0
AC007136,0,0,0,2,1,1,0,0,0,0,0
AC007161,4,0,0,0,0,0,0,0,0,0,0
AC007192,0,0,0,0,0,3,0,0,0,7,18
AC007204,0,2,0,1,0,1,0,0,0,0,0
AC007229,0,5,37,1,0,1,3,0,0,0,0
AC007237,0,0,0,0,0,0,0,0,0,0,0
AC007238,4,4,3,5,1,5,7,0,0,2,0
AC007253,0,0,0,0,1,0,0,0,0,0,0
AC007256,1,1,1,21,33,19,7,0,0,1,0
AC007272,0,0,0,4,4,2,0,4,0,0,0
AC007274,0,0,0,0,0,0,0,0,0,0,0
AC007279,1,0,0,0,1,0,0,0,9,0,0
AC007283,0,0,0,0,0,0,0,0,0,0,0
AC007312,0,0,0,0,0,0,0,0,0,0,0
AC007318,10,10,13,48,31,38,0,13,0,0,8
AC007322,0,0,0,0,0,0,0,0,0,0,0
AC007326,0,0,0,0,0,0,0,0,0,0,0
AC007327,0,0,0,0,0,0,0,0,0,0,0
AC007347,1,0,0,0,0,0,0,0,0,0,0
AC007365,1,3,2,5,1,2,0,0,0,0,2
AC007383,3,0,2,0,0,0,0,0,0,0,0
AC007386,0,0,0,8,17,16,0,0,0,0,0
AC007387,0,0,0,0,0,0,0,0,0,0,0
AC007389,0,2,0,0,0,0,0,0,0,0,0
AC007390,0,0,0,0,0,0,0,0,0,0,0
AC007394,0,0,2,0,4,1,11,0,0,0,0
AC007395,0,0,0,0,0,0,0,0,0,0,0
AC007551,0,1,0,0,0,0,0,0,0,0,0
AC007559,0,0,0,0,0,0,0,0,0,0,0
AC007560,0,0,0,0,1,0,2,0,0,0,0
AC007562,0,0,0,0,0,0,0,0,0,0,0
AC007563,0,0,0,0,1,0,0,0,0,0,0
AC007568,0,0,0,0,1,0,0,0,0,0,0
AC007618,2,0,0,0,0,0,0,0,0,0,0
AC007677,0,0,0,0,0,0,0,0,0,0,0
AC007679,0,0,0,0,0,0,0,0,0,0,0
AC007742,0,0,0,0,0,0,0,0,0,0,0
AC007790,0,0,0,0,0,0,0,0,0,0,0
AC007881,0,0,0,0,0,0,0,0,0,0,0
AC007899,0,0,0,0,0,2,0,0,0,0,0
AC007919,0,0,0,0,0,0,0,0,0,0,0
AC007967,0,0,0,0,0,0,0,0,0,0,0
AC007969,570,759,618,28,10,9,9,10,1,3,4
AC008065,0,1,5,2,8,6,3,0,6,0,0
AC008069,0,0,0,0,0,0,0,0,0,0,0
AC008072,0,0,0,0,0,0,9,14,0,0,9
AC008074,5,1,5,0,0,0,10,0,0,0,0
AC008132,0,0,0,0,0,0,16,10,0,11,0
AC008155,39,34,18,0,0,1,0,0,0,0,0
AC008171,0,0,0,0,0,0,0,0,0,0,0
AC008264,0,0,0,0,0,0,0,0,5,0,0
AC008280,0,0,0,0,0,0,0,0,0,0,0
AC008427,0,0,0,0,0,0,0,0,0,0,0
AC008565,0,0,0,0,0,0,0,0,0,0,0
AC008592,0,0,0,0,0,0,0,0,0,0,0
AC008694,0,0,0,0,0,0,0,0,0,0,17
AC008753,6,3,6,5,5,6,1,0,0,0,0
AC008834,0,0,0,1,3,2,0,0,0,0,0
AC008850,0,0,1,0,6,2,1,0,0,0,0
AC009120,6,6,1,21,29,21,9,0,7,4,0
AC009133,0,0,0,49,17,36,104,46,180,107,69
AC009161,0,0,0,0,0,0,0,0,0,0,0
AC009237,0,0,0,0,0,0,0,0,0,0,0
AC009238,0,0,0,0,0,0,0,0,0,0,0
AC009245,104,155,172,5,2,5,1,2,2,1,1
AC009263,0,0,0,0,0,0,0,0,0,0,0
AC009299,0,0,0,3,1,2,0,0,0,2,0
AC009302,14,10,13,0,1,1,0,0,0,0,0
AC009303,0,0,0,7,6,9,0,0,0,0,0
AC009310,0,0,0,0,0,0,0,0,0,0,0
AC009313,0,0,0,0,0,0,0,0,0,0,0
AC009362,0,0,0,0,0,1,0,0,0,0,0
AC009413,0,0,0,0,0,0,0,0,0,0,1
AC009474,0,0,0,0,0,0,0,0,0,0,0
AC009477,0,0,0,0,0,0,0,0,0,0,0
AC009480,0,0,0,0,0,0,0,0,0,0,0
AC009487,0,0,0,0,0,0,0,0,0,1,4
AC009494,0,0,0,0,0,0,0,0,0,0,0
AC009500,0,0,0,0,0,0,0,0,0,0,0
AC009502,1,1,1,4,11,7,0,0,0,0,0
AC009506,20,13,27,39,16,32,0,8,0,0,0
AC009517,0,0,0,0,0,1,0,14,0,0,0
AC009518,0,0,0,0,0,0,0,0,0,0,0
AC009541,0,0,0,0,1,0,0,0,0,0,0
AC009784,0,0,0,0,1,1,0,0,0,0,0
AC009945,0,0,0,0,0,0,0,0,0,0,0
AC009947,0,0,0,0,0,0,0,0,0,0,0
AC009948,49,39,28,79,177,150,0,2,0,1,1
AC009961,6,7,7,23,18,35,0,0,0,0,0
AC009963,1,0,0,0,0,0,0,0,0,1,0
AC009965,0,0,0,0,0,0,0,0,0,0,0
AC009967,0,0,0,1,1,3,7,3,19,3,9
AC009969,0,0,1,0,0,0,0,0,0,0,0
AC010086,0,0,0,0,0,0,0,0,0,0,0
AC010095,0,0,0,0,0,0,0,0,0,0,0
AC010132,1,1,0,0,2,1,9,0,0,0,0
AC010141,0,0,0,0,0,0,0,0,0,0,0
AC010153,0,0,0,0,0,0,0,0,0,0,0
AC010154,0,0,0,0,0,0,0,0,0,0,0
AC010240,0,0,0,0,0,2,0,0,0,0,0
AC010468,233,176,114,10,14,15,1,2,2,0,23
AC010522,0,0,0,0,0,0,7,0,2,0,0
AC010525,9,11,3,0,0,0,0,0,0,0,0
AC010547,4,1,0,0,1,0,0,0,0,4,0
AC010642,0,0,0,49,92,89,0,0,0,0,0
AC010646,0,0,0,0,0,0,0,0,0,0,11
AC010677,0,0,0,0,0,0,0,0,0,0,0
AC010731,0,0,0,0,0,0,0,0,0,0,0
AC010733,2,0,1,0,1,0,0,0,0,5,0
AC010740,0,0,0,0,0,0,0,0,0,0,0
AC010878,0,0,0,1,0,0,0,0,0,0,0
AC010886,0,0,0,0,0,0,0,0,0,3,13
AC010894,0,0,0,0,0,0,0,0,0,0,0
AC010900,0,0,0,17,6,22,0,0,0,0,2
AC010904,0,0,0,0,0,0,0,0,0,0,0
AC010967,2,0,1,1,0,1,0,0,0,0,0
AC010970,20,8,15,0,0,0,577992,199496,397509,1132698,71800
AC010975,0,0,0,0,0,0,0,0,0,0,0
AC010980,0,0,0,0,0,0,0,0,0,0,0
AC011225,0,0,0,0,0,0,0,0,0,0,0
AC011233,0,0,0,0,0,0,0,0,0,0,0
AC011242,0,0,0,0,0,0,0,0,0,0,0
AC011290,0,0,1,0,0,2,12,13,0,8,21
AC011330,0,0,0,3,7,7,114,14,136,126,19
AC011406,1,0,0,0,0,0,2,7,0,0,0
AC011431,0,0,0,0,0,0,0,0,0,0,0
AC011530,0,0,0,0,0,0,0,15,3,0,8
AC011742,0,0,0,0,2,0,0,0,0,0,0
AC011753,0,0,0,0,0,0,0,0,0,0,0
AC011816,0,0,0,3,4,2,0,0,0,0,0
AC011933,19,21,14,1,0,1,0,1,0,0,0
AC011998,0,0,0,0,0,0,0,0,0,0,0
AC011999,0,0,0,0,3,2,0,0,0,0,0
AC012005,0,0,0,0,2,0,0,0,0,0,0
AC012065,0,0,0,0,0,1,0,0,0,0,0
AC012066,4,1,0,26,26,29,7,0,0,0,0
AC012075,0,0,0,0,0,0,0,0,0,0,0
AC012078,0,0,0,0,0,0,2,0,0,0,0
AC012306,0,0,0,0,0,0,0,0,0,0,0
AC012354,16,12,9,35,93,79,0,0,0,0,0
AC012358,0,0,0,2,14,15,7,0,0,5,0
AC012362,0,0,0,0,0,0,0,0,0,0,0
AC012454,0,0,0,0,0,0,0,1,0,1,0
AC012493,0,0,0,0,0,0,0,0,0,0,0
AC012497,0,0,0,0,0,0,0,0,0,0,0
AC012501,0,0,4,0,0,0,0,0,0,0,0
AC012512,7,6,4,0,0,0,17,0,8,2,12
AC012513,1,0,0,0,0,0,0,3,0,0,0
AC012671,1,0,2,0,0,0,0,0,0,0,0
AC013262,0,0,0,0,0,0,0,0,0,0,0
AC013267,0,0,1,3,5,3,0,0,0,4,0
AC013268,0,0,0,0,0,0,0,0,0,0,0
AC013269,0,0,0,0,0,0,0,0,0,0,0
AC013271,0,0,0,0,0,0,12,0,0,13,19
AC013399,0,0,0,0,0,0,0,0,0,0,0
AC013403,0,0,0,0,0,0,0,0,0,0,0
AC013404,0,0,0,0,0,0,0,0,0,0,0
AC013410,0,0,0,1,0,0,0,10,0,0,0
AC013429,0,0,0,1,0,3,0,0,0,0,0
AC013439,0,0,0,0,0,0,0,0,0,0,0
AC013442,0,0,0,0,0,0,0,0,0,0,0
